"Document_ID","Document_Title","Repository_Path","Filename","Version","Status","Owner","Classification","Baseline","Last_Updated","FullPath"
"Y","DOCUMENT Y _ Part 08 _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 08 _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-29","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 08 _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 09A _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 09A _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 09A _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 09B _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 09B _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 09B _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 09C _ USER INTERFACE","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 09C _ USER INTERFACE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 09C _ USER INTERFACE.docx"
"Y","DOCUMENT Y _ Part 10 _ USER INTERFACE & USER EXPERIENCE SPECIFICATION","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y _ Part 10 _ USER INTERFACE & USER EXPERIENCE SPECIFICATION.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y _ Part 10 _ USER INTERFACE & USER EXPERIENCE SPECIFICATION.docx"
"Y.1","DOCUMENT Y.1 _ UI COMPONENT LIBRARY","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y.1 _ UI COMPONENT LIBRARY.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y.1 _ UI COMPONENT LIBRARY.docx"
"Y.2","DOCUMENT Y.2 _ ACCESSIBILITY & DESIGN STANDARDS","03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience","DOCUMENT Y.2 _ ACCESSIBILITY & DESIGN STANDARDS.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.04_User_Experience\DOCUMENT Y.2 _ ACCESSIBILITY & DESIGN STANDARDS.docx"
"Z","DOCUMENT Z _ ENTERPRISE TECHNICAL ARCHITECTURE","03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture","DOCUMENT Z _ ENTERPRISE TECHNICAL ARCHITECTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture\DOCUMENT Z _ ENTERPRISE TECHNICAL ARCHITECTURE.docx"
"Z0","DOCUMENT Z0 _ TECHNICAL ARCHITECTURE PRINCIPLES","03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture","DOCUMENT Z0 _ TECHNICAL ARCHITECTURE PRINCIPLES.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-09","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture\DOCUMENT Z0 _ TECHNICAL ARCHITECTURE PRINCIPLES.docx"
"Z1","DOCUMENT Z1 _ SYSTEM ARCHITECTURE","03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture","DOCUMENT Z1 _ SYSTEM ARCHITECTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture\DOCUMENT Z1 _ SYSTEM ARCHITECTURE.docx"
"Z2","DOCUMENT Z2 _ DATA ARCHITECTURE","03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture","DOCUMENT Z2 _ DATA ARCHITECTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture\DOCUMENT Z2 _ DATA ARCHITECTURE.docx"
"Z3","DOCUMENT Z3 _ MOBILE & TELEMETRY ARCHITECTURE","03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture","DOCUMENT Z3 _ MOBILE & TELEMETRY ARCHITECTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture\DOCUMENT Z3 _ MOBILE & TELEMETRY ARCHITECTURE.docx"
"Z4","DOCUMENT Z4 _ SECURITY & IDENTITY ARCHITECTURE","03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture","DOCUMENT Z4 _ SECURITY & IDENTITY ARCHITECTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture\DOCUMENT Z4 _ SECURITY & IDENTITY ARCHITECTURE.docx"
"Z5","DOCUMENT Z5 _ API & INTEGRATION ARCHITECTURE","03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture","DOCUMENT Z5 _ API & INTEGRATION ARCHITECTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture\DOCUMENT Z5 _ API & INTEGRATION ARCHITECTURE.docx"
"Z6","DOCUMENT Z6 _ INFRASTRUCTURE & DEPLOYMENT ARCHITECTURE","03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture","DOCUMENT Z6 _ INFRASTRUCTURE & DEPLOYMENT ARCHITECTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture\DOCUMENT Z6 _ INFRASTRUCTURE & DEPLOYMENT ARCHITECTURE.docx"
"Z7","DOCUMENT Z7 _ DEVSECOPS ARCHITECTURE","03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture","DOCUMENT Z7 _ DEVSECOPS ARCHITECTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture\DOCUMENT Z7 _ DEVSECOPS ARCHITECTURE.docx"
"Z-PRE","DOCUMENT Z-PRE _ TECHNICAL ARCHITECTURE SCOPE DECLARATION","03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture","DOCUMENT Z-PRE _ TECHNICAL ARCHITECTURE SCOPE DECLARATION.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-17","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.05_Application_Architecture\DOCUMENT Z-PRE _ TECHNICAL ARCHITECTURE SCOPE DECLARATION.docx"
"ZA","DOCUMENT ZA _ TECHNICAL TRACEABILITY MASTER MATRIX","03_ENTERPRISE_ARCHITECTURE\03.06_Technology_Architecture","DOCUMENT ZA _ TECHNICAL TRACEABILITY MASTER MATRIX.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.06_Technology_Architecture\DOCUMENT ZA _ TECHNICAL TRACEABILITY MASTER MATRIX.docx"
"ZA-A","DOCUMENT ZA-A _ TECHNICAL CONSTANTS REGISTRY","03_ENTERPRISE_ARCHITECTURE\03.06_Technology_Architecture","DOCUMENT ZA-A _ TECHNICAL CONSTANTS REGISTRY.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.06_Technology_Architecture\DOCUMENT ZA-A _ TECHNICAL CONSTANTS REGISTRY.docx"
"ZA-B","DOCUMENT ZA-B _ ARCHITECTURE EXCEPTION REGISTRY","03_ENTERPRISE_ARCHITECTURE\03.06_Technology_Architecture","DOCUMENT ZA-B _ ARCHITECTURE EXCEPTION REGISTRY.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.06_Technology_Architecture\DOCUMENT ZA-B _ ARCHITECTURE EXCEPTION REGISTRY.docx"
"ZA-N","DOCUMENT ZA-N _ NON-FUNCTIONAL REQUIREMENTS REGISTRY","03_ENTERPRISE_ARCHITECTURE\03.06_Technology_Architecture","DOCUMENT ZA-N _ NON-FUNCTIONAL REQUIREMENTS REGISTRY.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.06_Technology_Architecture\DOCUMENT ZA-N _ NON-FUNCTIONAL REQUIREMENTS REGISTRY.docx"
"ZA-R","DOCUMENT ZA-R _ TECHNICAL RISK REGISTER","03_ENTERPRISE_ARCHITECTURE\03.06_Technology_Architecture","DOCUMENT ZA-R _ TECHNICAL RISK REGISTER.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.06_Technology_Architecture\DOCUMENT ZA-R _ TECHNICAL RISK REGISTER.docx"
"AA","DOCUMENT AA _ DEPLOYMENT ARCHITECTURE","03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations","DOCUMENT AA _ DEPLOYMENT ARCHITECTURE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations\DOCUMENT AA _ DEPLOYMENT ARCHITECTURE.docx"
"AB","DOCUMENT AB _ TESTING & QA STRATEGY","03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations","DOCUMENT AB _ TESTING & QA STRATEGY.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations\DOCUMENT AB _ TESTING & QA STRATEGY.docx"
"AC","DOCUMENT AC _ ENVIRONMENT MANAGEMENT","03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations","DOCUMENT AC _ ENVIRONMENT MANAGEMENT.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations\DOCUMENT AC _ ENVIRONMENT MANAGEMENT.docx"
"AD","DOCUMENT AD _ RELEASE MANAGEMENT","03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations","DOCUMENT AD _ RELEASE MANAGEMENT.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations\DOCUMENT AD _ RELEASE MANAGEMENT.docx"
"AE","DOCUMENT AE _ BUSINESS CONTINUITY & DR","03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations","DOCUMENT AE _ BUSINESS CONTINUITY & DR.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations\DOCUMENT AE _ BUSINESS CONTINUITY & DR.docx"
"AF","DOCUMENT AF _ OPERATIONAL RUNBOOKS","03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations","DOCUMENT AF _ OPERATIONAL RUNBOOKS.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations\DOCUMENT AF _ OPERATIONAL RUNBOOKS.docx"
"AG","DOCUMENT AG _ MONITORING & OBSERVABILITY","03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations","DOCUMENT AG _ MONITORING & OBSERVABILITY.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations\DOCUMENT AG _ MONITORING & OBSERVABILITY.docx"
"AH","DOCUMENT AH _ ENTERPRISE SUPPORT MODEL","03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations","DOCUMENT AH _ ENTERPRISE SUPPORT MODEL.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations\DOCUMENT AH _ ENTERPRISE SUPPORT MODEL.docx"
"AI","DOCUMENT AI _ CHANGE MANAGEMENT","03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations","DOCUMENT AI _ CHANGE MANAGEMENT.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations\DOCUMENT AI _ CHANGE MANAGEMENT.docx"
"AJ","DOCUMENT AJ _ TRAINING & ADOPTION","03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations","DOCUMENT AJ _ TRAINING & ADOPTION.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-01","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations\DOCUMENT AJ _ TRAINING & ADOPTION.docx"
"AK","DOCUMENT AK _ ENTERPRISE KPI CATALOGUE","03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations","DOCUMENT AK _ ENTERPRISE KPI CATALOGUE.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-02","D:\GoldenWings\03_ENTERPRISE_ARCHITECTURE\03.07_Delivery_Operations\DOCUMENT AK _ ENTERPRISE KPI CATALOGUE.docx"
"ARCHITECTURE","Document ARCHITECTURE_BASELINE_REVIEW_2026.1","04_ENTERPRISE_ASSURANCE","Document ARCHITECTURE_BASELINE_REVIEW_2026.1.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\Document ARCHITECTURE_BASELINE_REVIEW_2026.1.docx"
"CR","DOCUMENT CR _ ENTERPRISE COMPLIANCE REVIEW","04_ENTERPRISE_ASSURANCE","DOCUMENT CR _ ENTERPRISE COMPLIANCE REVIEW.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-02","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT CR _ ENTERPRISE COMPLIANCE REVIEW.docx"
"DA","DOCUMENT DA _ DEPENDENCY AUDIT","04_ENTERPRISE_ASSURANCE","DOCUMENT DA _ DEPENDENCY AUDIT.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-02","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT DA _ DEPENDENCY AUDIT.docx"
"DH","DOCUMENT DH _ DEVELOPER HANDBOOK","04_ENTERPRISE_ASSURANCE","DOCUMENT DH _ DEVELOPER HANDBOOK.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-02","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT DH _ DEVELOPER HANDBOOK.docx"
"DV","DOCUMENT DV _ CROSS-DOCUMENT VALIDATION","04_ENTERPRISE_ASSURANCE","DOCUMENT DV _ CROSS-DOCUMENT VALIDATION.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-02","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT DV _ CROSS-DOCUMENT VALIDATION.docx"
"EH","DOCUMENT EH _ EXECUTIVE HANDBOOK","04_ENTERPRISE_ASSURANCE","DOCUMENT EH _ EXECUTIVE HANDBOOK.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-02","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT EH _ EXECUTIVE HANDBOOK.docx"
"FC","DOCUMENT FC _ FOUNDER CERTIFICATION","04_ENTERPRISE_ASSURANCE","DOCUMENT FC _ FOUNDER CERTIFICATION.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-02","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT FC _ FOUNDER CERTIFICATION.docx"
"IC","DOCUMENT IC _ IMPLEMENTATION CHECKLIST","04_ENTERPRISE_ASSURANCE","DOCUMENT IC _ IMPLEMENTATION CHECKLIST.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-02","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT IC _ IMPLEMENTATION CHECKLIST.docx"
"IR","DOCUMENT IR _ IMPLEMENTATION READINESS REVIEW","04_ENTERPRISE_ASSURANCE","DOCUMENT IR _ IMPLEMENTATION READINESS REVIEW.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-02","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT IR _ IMPLEMENTATION READINESS REVIEW.docx"
"RD","DOCUMENT RD _ Enterprise Repository Dashboard","04_ENTERPRISE_ASSURANCE","DOCUMENT RD _ Enterprise Repository Dashboard.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT RD _ Enterprise Repository Dashboard.docx"
"RE","DOCUMENT RE _ Enterprise Repository Governance Dashboard","04_ENTERPRISE_ASSURANCE","DOCUMENT RE _ Enterprise Repository Governance Dashboard.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT RE _ Enterprise Repository Governance Dashboard.docx"
"RF","DOCUMENT RF _ Enterprise Change Request Register","04_ENTERPRISE_ASSURANCE","DOCUMENT RF _ Enterprise Change Request Register.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT RF _ Enterprise Change Request Register.docx"
"RG","DOCUMENT RG _ Enterprise Repository Risk Register","04_ENTERPRISE_ASSURANCE","DOCUMENT RG _ Enterprise Repository Risk Register.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT RG _ Enterprise Repository Risk Register.docx"
"RH","DOCUMENT RH _ Enterprise Repository Decision Register","04_ENTERPRISE_ASSURANCE","DOCUMENT RH _ Enterprise Repository Decision Register.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT RH _ Enterprise Repository Decision Register.docx"
"RI","DOCUMENT RI _ Enterprise Repository Metrics & KPI Register","04_ENTERPRISE_ASSURANCE","DOCUMENT RI _ Enterprise Repository Metrics & KPI Register.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT RI _ Enterprise Repository Metrics & KPI Register.docx"
"RJ","DOCUMENT RJ _ Enterprise Repository Continuous Improvement Register","04_ENTERPRISE_ASSURANCE","DOCUMENT RJ _ Enterprise Repository Continuous Improvement Register.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT RJ _ Enterprise Repository Continuous Improvement Register.docx"
"RK","DOCUMENT RK _ Enterprise Repository Change Management Manual","04_ENTERPRISE_ASSURANCE","DOCUMENT RK _ Enterprise Repository Change Management Manual.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT RK _ Enterprise Repository Change Management Manual.docx"
"RL","DOCUMENT RL _ Enterprise Repository Backup & Disaster Recovery Manual","04_ENTERPRISE_ASSURANCE","DOCUMENT RL _ Enterprise Repository Backup & Disaster Recovery Manual.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT RL _ Enterprise Repository Backup & Disaster Recovery Manual.docx"
"RM","DOCUMENT RM _ Enterprise Repository Automation & DevOps Manual","04_ENTERPRISE_ASSURANCE","DOCUMENT RM _ Enterprise Repository Automation & DevOps Manual.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT RM _ Enterprise Repository Automation & DevOps Manual.docx"
"RM","DOCUMENT RM _ Golden Wings Enterprise Automation Framework (GW-EAF) Architecture","04_ENTERPRISE_ASSURANCE","DOCUMENT RM _ Golden Wings Enterprise Automation Framework (GW-EAF) Architecture.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT RM _ Golden Wings Enterprise Automation Framework (GW-EAF) Architecture.docx"
"SSOT","Document SSOT-IEB-2026.1_A_As-Is Framework Assessment","04_ENTERPRISE_ASSURANCE","Document SSOT-IEB-2026.1_A_As-Is Framework Assessment.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\Document SSOT-IEB-2026.1_A_As-Is Framework Assessment.docx"
"SSOT","Document SSOT-IEB-2026.1_Implementation_Execution_Baseline","04_ENTERPRISE_ASSURANCE","Document SSOT-IEB-2026.1_Implementation_Execution_Baseline.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\Document SSOT-IEB-2026.1_Implementation_Execution_Baseline.docx"
"SSOT","Document SSOT-IEB-2026.1-B_Current_State_Analysis","04_ENTERPRISE_ASSURANCE","Document SSOT-IEB-2026.1-B_Current_State_Analysis.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-03","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\Document SSOT-IEB-2026.1-B_Current_State_Analysis.docx"
"SSOT","Document SSOT-IEB-2026.1-C_GW-EAF_Architecture_Specification","04_ENTERPRISE_ASSURANCE","Document SSOT-IEB-2026.1-C_GW-EAF_Architecture_Specification.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-04","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\Document SSOT-IEB-2026.1-C_GW-EAF_Architecture_Specification.docx"
"SSOT","Document SSOT-IEB-2026.1-D_Implementation_Report","04_ENTERPRISE_ASSURANCE","Document SSOT-IEB-2026.1-D_Implementation_Report.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-04","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\Document SSOT-IEB-2026.1-D_Implementation_Report.docx"
"TA","DOCUMENT TA _ TRACEABILITY AUDIT","04_ENTERPRISE_ASSURANCE","DOCUMENT TA _ TRACEABILITY AUDIT.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-07-02","D:\GoldenWings\04_ENTERPRISE_ASSURANCE\DOCUMENT TA _ TRACEABILITY AUDIT.docx"
"LEGACY","Document LEGACY ARCHITECTURE GAP REVIEW","99_REFERENCE","Document LEGACY ARCHITECTURE GAP REVIEW.docx","2026.1","Controlled","Golden Wings","Internal","GW-BASELINE-2026.1","2026-06-30","D:\GoldenWings\99_REFERENCE\Document LEGACY ARCHITECTURE GAP REVIEW.docx"
